Time,Source,Destination,Protocol,Length,Info
1.881975,104.254.148.166,192.168.1.9,TCP,54,443  >  53229 [RST] Seq=33 Win=0 Len=0
1.89812,192.168.1.2,224.0.0.251,MDNS,193,"Standard query 0x0000 PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
1.909989,104.254.148.166,192.168.1.9,TCP,54,443  >  53223 [RST] Seq=33 Win=0 Len=0
1.909995,104.254.148.166,192.168.1.9,TCP,54,443  >  53223 [RST] Seq=33 Win=0 Len=0
1.916397,104.254.148.166,192.168.1.9,TCP,54,443  >  53227 [RST] Seq=33 Win=0 Len=0
1.916403,104.254.148.166,192.168.1.9,TCP,54,443  >  53227 [RST] Seq=33 Win=0 Len=0
1.923584,192.168.1.9,169.60.125.155,TLSv1.2,97,Encrypted Alert
1.923794,192.168.1.9,169.60.125.155,TCP,66,"52817  >  443 [FIN, ACK] Seq=32 Ack=1 Win=2048 Len=0 TSval=1073995651 TSecr=182671293"
1.993291,192.168.1.9,192.168.1.2,MDNS,338,"Standard query response 0x0000 PTR Hans Gruber._companion-link._tcp.local SRV, cache flush 0 0 63636 Hans-Gruber.local TXT, cache flush TXT A, cache flush 192.168.1.9"
2.006969,169.60.125.155,192.168.1.9,TCP,66,"443  >  52817 [FIN, ACK] Seq=1 Ack=33 Win=7 Len=0 TSval=182791381 TSecr=1073995651"
2.00708,192.168.1.9,169.60.125.155,TCP,66,52817  >  443 [ACK] Seq=33 Ack=2 Win=2048 Len=0 TSval=1073995734 TSecr=182791381
2.183261,192.168.1.9,192.168.1.16,TCP,176,"63637  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=110 TSval=1073995908 TSecr=2901519 [TCP segment of a reassembled PDU]"
2.189114,192.168.1.16,192.168.1.9,TCP,176,"8009  >  63637 [PSH, ACK] Seq=1 Ack=111 Win=294 Len=110 TSval=2902020 TSecr=1073995908 [TCP segment of a reassembled PDU]"
2.189233,192.168.1.9,192.168.1.16,TCP,66,63637  >  8009 [ACK] Seq=111 Ack=111 Win=2046 Len=0 TSval=1073995914 TSecr=2902020
2.71998,104.254.148.165,192.168.1.9,TLSv1.2,97,Encrypted Alert
2.720189,192.168.1.9,104.254.148.165,TCP,66,53087  >  443 [ACK] Seq=1 Ack=32 Win=2047 Len=0 TSval=1073996443 TSecr=4273027120
2.72059,192.168.1.9,104.254.148.165,TLSv1.2,97,Encrypted Alert
2.721017,192.168.1.9,104.254.148.165,TCP,66,"53087  >  443 [FIN, ACK] Seq=32 Ack=32 Win=2048 Len=0 TSval=1073996443 TSecr=4273027120"
2.724133,104.254.148.165,192.168.1.9,TCP,66,"443  >  53087 [FIN, ACK] Seq=32 Ack=1 Win=211 Len=0 TSval=4273027120 TSecr=1073986353"
2.724141,104.254.148.165,192.168.1.9,TCP,66,"[TCP Out-Of-Order] 443  >  53087 [FIN, ACK] Seq=32 Ack=1 Win=211 Len=0 TSval=4273027160 TSecr=1073986353"
2.72428,192.168.1.9,104.254.148.165,TCP,66,"[TCP Retransmission] 53087  >  443 [FIN, ACK] Seq=32 Ack=33 Win=2048 Len=0 TSval=1073996447 TSecr=4273027120"
2.72428,192.168.1.9,104.254.148.165,TCP,66,"[TCP Retransmission] 53087  >  443 [FIN, ACK] Seq=32 Ack=33 Win=2048 Len=0 TSval=1073996447 TSecr=4273027120"
2.769071,104.254.148.165,192.168.1.9,TCP,54,443  >  53087 [RST] Seq=32 Win=0 Len=0
2.769074,104.254.148.165,192.168.1.9,TCP,54,443  >  53087 [RST] Seq=32 Win=0 Len=0
2.769177,104.254.148.165,192.168.1.9,TCP,54,443  >  53087 [RST] Seq=33 Win=0 Len=0
2.769393,104.254.148.165,192.168.1.9,TCP,54,443  >  53087 [RST] Seq=33 Win=0 Len=0
3.127223,192.168.1.2,224.0.0.251,MDNS,423,"Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Hans Gruber._companion-link._tcp.local PTR 28CFDA2A971C@yogi._raop._tcp.local PTR B817C2B7DABF@Living Room Apple TV._raop._tcp.local PTR yogi._airplay._tcp.local PTR Living Room Apple TV._airplay._tcp.local PTR 70-35-60-63.1 yogi._sleep-proxy._udp.local PTR 70-35-60-63.1 Living Room Apple TV._sleep-proxy._udp.local OPT"
3.707639,192.168.1.9,192.168.1.9,TCP,54,135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.708053,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.708527,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.708866,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.709246,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.709594,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.709934,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.71037,192.168.1.9,192.168.1.9,TCP,54,[TCP Out-Of-Order] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.710717,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.711059,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.711395,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.711751,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.71209,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.71243,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.712773,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.713101,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.713438,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.713751,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.714074,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.714397,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.714737,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.715054,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.715374,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.715703,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.716078,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.716508,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.716849,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.717181,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.717503,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.717826,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.718229,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.718574,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.718899,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.719213,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.719542,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.719868,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.720195,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.72066,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.720992,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.721326,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.721756,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.722082,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.722406,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.722751,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.723146,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.723528,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.723905,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.724237,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.724891,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.725714,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.72658,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.728117,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.729024,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.729355,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.729686,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.73001,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.730328,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.730648,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.730968,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.731295,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.731621,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.73195,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.732258,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.73262,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.732985,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.73332,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.733651,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.741172,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.74148,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.741878,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.742213,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.7432,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.743364,74.125.142.189,192.168.1.9,UDP,83,443  >  51451 Len=41
3.743544,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.743884,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.744207,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.744528,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.744849,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.745173,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.745487,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.745814,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.74614,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.746461,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.74676,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.747126,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.747442,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.747762,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.748082,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.748405,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.748829,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.749216,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.753181,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.753512,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.753842,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.754165,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.754498,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.754873,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.755202,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.755545,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.755856,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.756349,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.757364,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.757698,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.758022,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.758347,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.758671,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.758998,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.75932,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.759645,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.759972,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.760294,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.760603,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.761081,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.761466,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.761809,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.762114,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.762454,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.762776,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.763094,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.763392,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.763722,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.764045,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.764354,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.764779,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.768977,192.168.1.9,74.125.142.189,UDP,71,51451  >  443 Len=29
3.771715,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.772083,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.7725,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.772922,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
3.788505,192.168.1.9,192.168.1.9,TCP,54,[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0
